Gene	logFC	pAdj	Compartment	Cell Type
GNLY	3.11E+00	3.60E-201	Peripheral blood	CTL
GZMH	2.43E+00	3.23E-166	Peripheral blood	CTL
NKG7	1.89E+00	2.24E-136	Peripheral blood	CTL
PRF1	1.88E+00	2.44E-123	Peripheral blood	CTL
GZMB	2.26E+00	2.41E-106	Peripheral blood	CTL
ADGRG1	1.89E+00	1.56E-101	Peripheral blood	CTL
S1PR5	1.94E+00	4.14E-82	Peripheral blood	CTL
CX3CR1	1.64E+00	1.31E-67	Peripheral blood	CTL
CCL5	9.36E-01	1.64E-66	Peripheral blood	CTL
TBX21	1.28E+00	3.71E-64	Peripheral blood	CTL
FGR	1.55E+00	1.96E-58	Peripheral blood	CTL
FGFBP2	1.77E+00	1.38E-57	Peripheral blood	CTL
EFHD2	1.36E+00	2.61E-56	Peripheral blood	CTL
TRGC2	1.57E+00	1.10E-54	Peripheral blood	CTL
FCRL6	1.33E+00	1.87E-51	Peripheral blood	CTL
FCGR3A	1.52E+00	5.86E-49	Peripheral blood	CTL
PLEK	1.40E+00	1.11E-45	Peripheral blood	CTL
CST7	1.05E+00	1.28E-43	Peripheral blood	CTL
ITGB2	9.32E-01	1.20E-42	Peripheral blood	CTL
GZMA	1.48E+00	2.84E-42	Peripheral blood	CTL
FLVCR2	5.21E-01	4.90E-38	Peripheral blood	CTL
PRSS23	1.20E+00	1.63E-35	Peripheral blood	CTL
CTSW	1.06E+00	3.00E-35	Peripheral blood	CTL
CCL4	1.26E+00	1.35E-34	Peripheral blood	CTL
ADRB2	1.23E+00	7.44E-33	Peripheral blood	CTL
PFN1P1	2.53E-01	4.83E-32	Peripheral blood	CTL
SPON2	1.38E+00	9.60E-31	Peripheral blood	CTL
KLRD1	1.15E+00	2.67E-29	Peripheral blood	CTL
TRGC1	7.60E-01	3.39E-29	Peripheral blood	CTL
FLNA	8.16E-01	1.63E-28	Peripheral blood	CTL
ARL4C	9.80E-01	2.40E-28	Peripheral blood	CTL
SYT8	5.63E-01	1.40E-24	Peripheral blood	CTL
SYNE2	7.85E-01	8.38E-23	Peripheral blood	CTL
ZEB2	9.52E-01	3.86E-22	Peripheral blood	CTL
ASCL2	6.95E-01	5.10E-22	Peripheral blood	CTL
LITAF	8.27E-01	3.08E-21	Peripheral blood	CTL
ZNF683	1.05E+00	8.94E-21	Peripheral blood	CTL
EOMES	9.51E-01	1.39E-20	Peripheral blood	CTL
SAMD3	9.49E-01	2.17E-19	Peripheral blood	CTL
HOPX	1.21E+00	9.28E-19	Peripheral blood	CTL
RAP1GAP2	6.39E-01	9.66E-19	Peripheral blood	CTL
SH3BGRL3	5.61E-01	2.03E-18	Peripheral blood	CTL
TXNIP	6.02E-01	4.08E-18	Peripheral blood	CTL
C1orf21	8.99E-01	1.12E-17	Peripheral blood	CTL
SLC9A3R1	6.93E-01	1.81E-17	Peripheral blood	CTL
CD8A	8.40E-01	1.90E-17	Peripheral blood	CTL
C12orf75	1.14E+00	2.26E-17	Peripheral blood	CTL
SLC15A4	9.25E-01	3.17E-17	Peripheral blood	CTL
PXN	9.43E-01	1.53E-16	Peripheral blood	CTL
HLA.C	4.72E-01	1.05E-15	Peripheral blood	CTL
MYO1F	7.75E-01	1.62E-15	Peripheral blood	CTL
EMP3	3.90E-01	3.20E-14	Peripheral blood	CTL
PPP2R5C	6.39E-01	4.80E-14	Peripheral blood	CTL
RAP2A	7.15E-01	5.89E-14	Peripheral blood	CTL
HLA.A	4.74E-01	1.03E-13	Peripheral blood	CTL
AHNAK	8.24E-01	1.09E-13	Peripheral blood	CTL
TSPAN32	9.25E-01	1.30E-13	Peripheral blood	CTL
CMC1	1.01E+00	2.60E-13	Peripheral blood	CTL
PATL2	9.03E-01	3.22E-13	Peripheral blood	CTL
ITGAM	6.97E-01	4.74E-13	Peripheral blood	CTL
KLRG1	8.36E-01	6.85E-13	Peripheral blood	CTL
HLA.DPB1	9.00E-01	1.08E-12	Peripheral blood	CTL
LCP1	6.13E-01	1.48E-12	Peripheral blood	CTL
HCST	7.18E-01	1.71E-12	Peripheral blood	CTL
CCND3	5.59E-01	2.45E-12	Peripheral blood	CTL
APOBEC3G	8.46E-01	2.52E-12	Peripheral blood	CTL
KLRF1	9.54E-01	4.13E-12	Peripheral blood	CTL
PDGFD	5.94E-01	8.70E-12	Peripheral blood	CTL
ZFP36L2	4.43E-01	1.05E-11	Peripheral blood	CTL
SLC20A1	7.61E-01	1.18E-11	Peripheral blood	CTL
CLIC3	8.00E-01	1.32E-11	Peripheral blood	CTL
RASSF1	7.47E-01	4.48E-11	Peripheral blood	CTL
PYHIN1	8.95E-01	4.91E-11	Peripheral blood	CTL
BIN2	6.01E-01	6.41E-11	Peripheral blood	CTL
RP11.81H14.2	5.22E-01	1.08E-10	Peripheral blood	CTL
NCR1	3.79E-01	3.05E-10	Peripheral blood	CTL
LPCAT1	5.39E-01	4.17E-10	Peripheral blood	CTL
TPST2	6.94E-01	8.86E-10	Peripheral blood	CTL
USP28	4.99E-01	1.04E-09	Peripheral blood	CTL
CD8B	4.52E-01	1.34E-09	Peripheral blood	CTL
CD300A	7.72E-01	2.28E-09	Peripheral blood	CTL
RUNX3	7.44E-01	2.32E-09	Peripheral blood	CTL
CYTH4	6.20E-01	2.60E-09	Peripheral blood	CTL
MAPK1	7.73E-01	2.87E-09	Peripheral blood	CTL
LYAR	9.36E-01	4.91E-09	Peripheral blood	CTL
PTGDR	8.27E-01	5.28E-09	Peripheral blood	CTL
ID2	6.69E-01	1.13E-08	Peripheral blood	CTL
TOB1	3.65E-01	1.31E-08	Peripheral blood	CTL
APOBEC3C	3.89E-01	2.11E-08	Peripheral blood	CTL
VCL	6.67E-01	2.14E-08	Peripheral blood	CTL
SYNE1	6.98E-01	2.38E-08	Peripheral blood	CTL
ZNF276	5.07E-01	2.90E-08	Peripheral blood	CTL
PLAC8	6.36E-01	4.02E-08	Peripheral blood	CTL
ITGAX	7.69E-01	5.67E-08	Peripheral blood	CTL
ITGAL	6.07E-01	7.06E-08	Peripheral blood	CTL
MED15	5.38E-01	8.56E-08	Peripheral blood	CTL
RAP2B	3.85E-01	9.63E-08	Peripheral blood	CTL
SLAMF6	5.69E-01	1.02E-07	Peripheral blood	CTL
PRR5L	8.09E-01	1.05E-07	Peripheral blood	CTL
C9orf142	6.06E-01	1.42E-07	Peripheral blood	CTL
LSP1	4.45E-01	1.49E-07	Peripheral blood	CTL
TGFBR3	5.09E-01	1.70E-07	Peripheral blood	CTL
