""	"Package"	"Version"
"abind"	"abind"	"1.4-5"
"acepack"	"acepack"	"1.4.1"
"ADGofTest"	"ADGofTest"	"0.3"
"amap"	"amap"	"0.8-16"
"animation"	"animation"	"2.5"
"annotate"	"annotate"	"1.58.0"
"AnnotationDbi"	"AnnotationDbi"	"1.44.0"
"apcluster"	"apcluster"	"1.4.7"
"ape"	"ape"	"5.2"
"aroma.light"	"aroma.light"	"3.10.0"
"askpass"	"askpass"	"1.1"
"assertthat"	"assertthat"	"0.2.0"
"backports"	"backports"	"1.1.2"
"base64enc"	"base64enc"	"0.1-3"
"bayesm"	"bayesm"	"3.1-0.1"
"BBmisc"	"BBmisc"	"1.11"
"bbmle"	"bbmle"	"1.0.20"
"beachmat"	"beachmat"	"1.2.1"
"beeswarm"	"beeswarm"	"0.2.3"
"BH"	"BH"	"1.66.0-1"
"BiasedUrn"	"BiasedUrn"	"1.07"
"bibtex"	"bibtex"	"0.4.2"
"bindr"	"bindr"	"0.1.1"
"bindrcpp"	"bindrcpp"	"0.2.2"
"Biobase"	"Biobase"	"2.40.0"
"BiocCheck"	"BiocCheck"	"1.16.0"
"BiocGenerics"	"BiocGenerics"	"0.26.0"
"BiocInstaller"	"BiocInstaller"	"1.30.0"
"BiocManager"	"BiocManager"	"1.30.4"
"BiocParallel"	"BiocParallel"	"1.14.2"
"BiocStyle"	"BiocStyle"	"2.8.2"
"BiocVersion"	"BiocVersion"	"3.8.0"
"biocViews"	"biocViews"	"1.48.2"
"biomaRt"	"biomaRt"	"2.36.1"
"Biostrings"	"Biostrings"	"2.48.0"
"bit"	"bit"	"1.1-14"
"bit64"	"bit64"	"0.9-7"
"bitops"	"bitops"	"1.0-6"
"biwt"	"biwt"	"1.0"
"blob"	"blob"	"1.1.1"
"bookdown"	"bookdown"	"0.7"
"brew"	"brew"	"1.0-6"
"broom"	"broom"	"0.5.0"
"Cairo"	"Cairo"	"1.5-9"
"callr"	"callr"	"3.1.1"
"car"	"car"	"3.0-2"
"carData"	"carData"	"3.0-1"
"caret"	"caret"	"6.0-80"
"caTools"	"caTools"	"1.17.1.1"
"cellranger"	"cellranger"	"1.1.0"
"cellrangerRkit"	"cellrangerRkit"	"2.0.0"
"checkmate"	"checkmate"	"1.8.5"
"circlize"	"circlize"	"0.4.5"
"cli"	"cli"	"1.0.1"
"clipr"	"clipr"	"0.4.1"
"clisymbols"	"clisymbols"	"1.2.0"
"clusterGeneration"	"clusterGeneration"	"1.3.4"
"coda"	"coda"	"0.19-2"
"cogena"	"cogena"	"1.14.0"
"colorspace"	"colorspace"	"1.3-2"
"combinat"	"combinat"	"0.0-8"
"commonmark"	"commonmark"	"1.5"
"ComplexHeatmap"	"ComplexHeatmap"	"1.20.0"
"compositions"	"compositions"	"1.40-2"
"copula"	"copula"	"0.999-18"
"corrplot"	"corrplot"	"0.84"
"CountClust"	"CountClust"	"1.8.0"
"covr"	"covr"	"3.1.0"
"cowplot"	"cowplot"	"0.9.3"
"crayon"	"crayon"	"1.3.4"
"crosstalk"	"crosstalk"	"1.0.0"
"curl"	"curl"	"3.3"
"CVST"	"CVST"	"0.2-2"
"data.table"	"data.table"	"1.11.4"
"DBI"	"DBI"	"1.0.0"
"dbplyr"	"dbplyr"	"1.2.2"
"ddalpha"	"ddalpha"	"1.3.4"
"DDRTree"	"DDRTree"	"0.1.5"
"debugme"	"debugme"	"1.1.0"
"DelayedArray"	"DelayedArray"	"0.6.4"
"DelayedMatrixStats"	"DelayedMatrixStats"	"1.2.0"
"densityClust"	"densityClust"	"0.3"
"DEoptimR"	"DEoptimR"	"1.0-8"
"desc"	"desc"	"1.2.0"
"DESeq"	"DESeq"	"1.32.0"
"devtools"	"devtools"	"2.0.1"
"dichromat"	"dichromat"	"2.0-0"
"digest"	"digest"	"0.6.18"
"dimRed"	"dimRed"	"0.1.0"
"diptest"	"diptest"	"0.75-7"
"distillery"	"distillery"	"1.0-4"
"docopt"	"docopt"	"0.6.1"
"doParallel"	"doParallel"	"1.0.11"
"doSNOW"	"doSNOW"	"1.0.16"
"dplyr"	"dplyr"	"0.8.3"
"dqrng"	"dqrng"	"0.2.1"
"DRR"	"DRR"	"0.0.3"
"DT"	"DT"	"0.4"
"dtplyr"	"dtplyr"	"0.0.2"
"dtw"	"dtw"	"1.20-1"
"dynamicTreeCut"	"dynamicTreeCut"	"1.63-1"
"dynutils"	"dynutils"	"1.0.0"
"EDASeq"	"EDASeq"	"2.14.1"
"edgeR"	"edgeR"	"3.22.3"
"ellipsis"	"ellipsis"	"0.3.0"
"energy"	"energy"	"1.7-5"
"entropy"	"entropy"	"1.2.1"
"evaluate"	"evaluate"	"0.12"
"expm"	"expm"	"0.999-3"
"extRemes"	"extRemes"	"2.0-9"
"fansi"	"fansi"	"0.4.0"
"farver"	"farver"	"2.0.3"
"fastcluster"	"fastcluster"	"1.1.25"
"fastICA"	"fastICA"	"1.2-1"
"fastmatch"	"fastmatch"	"1.1-0"
"fdrtool"	"fdrtool"	"1.2.15"
"feather"	"feather"	"0.3.5"
"fitdistrplus"	"fitdistrplus"	"1.0-9"
"flexmix"	"flexmix"	"2.3-13"
"FNN"	"FNN"	"1.1.2.1"
"forcats"	"forcats"	"0.3.0"
"foreach"	"foreach"	"1.4.4"
"formatR"	"formatR"	"1.5"
"Formula"	"Formula"	"1.2-3"
"fpc"	"fpc"	"2.1-11.1"
"fs"	"fs"	"1.2.6"
"futile.logger"	"futile.logger"	"1.4.3"
"futile.options"	"futile.options"	"1.0.1"
"future"	"future"	"1.16.0"
"future.apply"	"future.apply"	"1.4.0"
"GA"	"GA"	"3.1.1"
"gbRd"	"gbRd"	"0.4-11"
"gdata"	"gdata"	"2.18.0"
"gdtools"	"gdtools"	"0.1.8"
"genefilter"	"genefilter"	"1.62.0"
"geneLenDataBase"	"geneLenDataBase"	"1.18.0"
"geneplotter"	"geneplotter"	"1.58.0"
"generics"	"generics"	"0.0.2"
"GenomeInfoDb"	"GenomeInfoDb"	"1.16.0"
"GenomeInfoDbData"	"GenomeInfoDbData"	"1.1.0"
"GenomicAlignments"	"GenomicAlignments"	"1.16.0"
"GenomicFeatures"	"GenomicFeatures"	"1.32.2"
